danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,artist,title,date,chart,trend,streams,region,genre
0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,audio_features,40iJIUlhi6renaREYGeIDS,spotify:track:40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,291175,4,8.0,Drake,Fair Trade (with Travis Scott),2021-09-03,top200,NEW_ENTRY,442731.0,Germany,hip hop
0.441,0.876,1,-5.652,1,0.336,0.122,3.99e-06,0.324,0.408,69.938,audio_features,0M6hFbc4iDPLh66BAVtP4N,spotify:track:0M6hFbc4iDPLh66BAVtP4N,https://api.spotify.com/v1/tracks/0M6hFbc4iDPLh66BAVtP4N,https://api.spotify.com/v1/audio-analysis/0M6hFbc4iDPLh66BAVtP4N,219363,4,5.0,Gzuz,Drück Drück (feat. LX),2018-03-30,top200,NEW_ENTRY,284740.0,Germany,hip hop
0.609,0.859,1,-4.419,1,0.407,0.0333,0,0.16,0.565,183.726,audio_features,5w5Zq6IAtSo1vBXBofvgZ9,spotify:track:5w5Zq6IAtSo1vBXBofvgZ9,https://api.spotify.com/v1/tracks/5w5Zq6IAtSo1vBXBofvgZ9,https://api.spotify.com/v1/audio-analysis/5w5Zq6IAtSo1vBXBofvgZ9,151304,4,6.0,Capital Bra,Selbst verdient,2018-11-02,top200,NEW_ENTRY,404525.0,Germany,hip hop
0.798,0.608,7,-6.001,1,0.14,0.0274,6.52e-05,0.106,0.677,180.014,audio_features,52UVKsw31NTOCTNPTpwbFJ,spotify:track:52UVKsw31NTOCTNPTpwbFJ,https://api.spotify.com/v1/tracks/52UVKsw31NTOCTNPTpwbFJ,https://api.spotify.com/v1/audio-analysis/52UVKsw31NTOCTNPTpwbFJ,151558,4,1.0,"Loredana, Mozzik",Eiskalt,2019-08-02,top200,NEW_ENTRY,640389.0,Germany,rap
0.88,0.555,8,-6.623,1,0.255,0.0264,3.12e-06,0.67,0.415,117.944,audio_features,7EN5yE1l414pRyz4AkCEYD,spotify:track:7EN5yE1l414pRyz4AkCEYD,https://api.spotify.com/v1/tracks/7EN5yE1l414pRyz4AkCEYD,https://api.spotify.com/v1/audio-analysis/7EN5yE1l414pRyz4AkCEYD,146441,4,3.0,"KC Rebell, Summer Cem",QN,2020-08-07,top200,NEW_ENTRY,617742.0,Germany,hip hop
0.518,0.67,6,-7.307,0,0.47,0.101,0,0.0835,0.428,191.486,audio_features,18VRnJOBksZVjCwwvMazA3,spotify:track:18VRnJOBksZVjCwwvMazA3,https://api.spotify.com/v1/tracks/18VRnJOBksZVjCwwvMazA3,https://api.spotify.com/v1/audio-analysis/18VRnJOBksZVjCwwvMazA3,166000,4,10.0,Dardan,kAdaLe,2019-07-19,top200,NEW_ENTRY,383062.0,Germany,pop
0.697,0.414,10,-8.67,1,0.408,0.369,4.13e-05,0.107,0.407,130.232,audio_features,2cMOccdzRqwVuQOyxLR42W,spotify:track:2cMOccdzRqwVuQOyxLR42W,https://api.spotify.com/v1/tracks/2cMOccdzRqwVuQOyxLR42W,https://api.spotify.com/v1/audio-analysis/2cMOccdzRqwVuQOyxLR42W,151245,5,7.0,"Bonez MC, jahmiel",Wild Wild West,2020-09-11,top200,NEW_ENTRY,514312.0,Germany,hip hop
0.677,0.577,2,-7.955,1,0.267,0.352,0.0389,0.148,0.166,104.711,audio_features,2x2rt9LTpn2ofDPWnzRmgV,spotify:track:2x2rt9LTpn2ofDPWnzRmgV,https://api.spotify.com/v1/tracks/2x2rt9LTpn2ofDPWnzRmgV,https://api.spotify.com/v1/audio-analysis/2x2rt9LTpn2ofDPWnzRmgV,214381,4,10.0,"Bonez MC, RAF Camora",Alien,2018-10-05,top200,NEW_ENTRY,532398.0,Germany,rap
0.784,0.769,10,-6.725,0,0.109,0.0417,8.84e-05,0.143,0.58,116.054,audio_features,0pepy7gdvtiNBlsT9t4OmT,spotify:track:0pepy7gdvtiNBlsT9t4OmT,https://api.spotify.com/v1/tracks/0pepy7gdvtiNBlsT9t4OmT,https://api.spotify.com/v1/audio-analysis/0pepy7gdvtiNBlsT9t4OmT,224339,4,7.0,"Nimo, Capo",Lean,2018-10-12,top200,NEW_ENTRY,370695.0,Germany,hip hop
0.803,0.481,6,-8.831,1,0.055,0.321,0,0.133,0.768,142.022,audio_features,31M6uFzb0yY2TjqfyuLU89,spotify:track:31M6uFzb0yY2TjqfyuLU89,https://api.spotify.com/v1/tracks/31M6uFzb0yY2TjqfyuLU89,https://api.spotify.com/v1/audio-analysis/31M6uFzb0yY2TjqfyuLU89,187520,4,4.0,Dardan,coke light,2021-02-05,top200,NEW_ENTRY,446033.0,Germany,pop
0.87,0.627,10,-9.565,0,0.302,0.51,0,0.119,0.453,100.492,audio_features,3tSy9yUo0rb1LR61CS5O7l,spotify:track:3tSy9yUo0rb1LR61CS5O7l,https://api.spotify.com/v1/tracks/3tSy9yUo0rb1LR61CS5O7l,https://api.spotify.com/v1/audio-analysis/3tSy9yUo0rb1LR61CS5O7l,149973,4,7.0,"Soolking, MERO",Hayati,2020-03-20,top200,NEW_ENTRY,349379.0,Germany,francoton
0.819,0.633,10,-4.893,0,0.328,0.0126,0,0.381,0.808,86.982,audio_features,1L8LtC2s161XwY6YrtnQjw,spotify:track:1L8LtC2s161XwY6YrtnQjw,https://api.spotify.com/v1/tracks/1L8LtC2s161XwY6YrtnQjw,https://api.spotify.com/v1/audio-analysis/1L8LtC2s161XwY6YrtnQjw,174159,4,6.0,"Shindy, Shirin David",Affalterbach,2019-03-27,top200,NEW_ENTRY,599584.0,Germany,hip hop
0.625,0.784,9,-5.029,0,0.24,0.142,0,0.119,0.413,181.851,audio_features,0eu0G2tueICibVWy0sHaRb,spotify:track:0eu0G2tueICibVWy0sHaRb,https://api.spotify.com/v1/tracks/0eu0G2tueICibVWy0sHaRb,https://api.spotify.com/v1/audio-analysis/0eu0G2tueICibVWy0sHaRb,168791,4,1.0,"KC Rebell, Summer Cem",DOWN,2020-11-20,top200,NEW_ENTRY,496986.0,Germany,hip hop
0.866,0.467,9,-7.642,0,0.278,0.207,1.92e-06,0.161,0.513,85.083,audio_features,2YC4rnhpt0sTIUcrIRHZSQ,spotify:track:2YC4rnhpt0sTIUcrIRHZSQ,https://api.spotify.com/v1/tracks/2YC4rnhpt0sTIUcrIRHZSQ,https://api.spotify.com/v1/audio-analysis/2YC4rnhpt0sTIUcrIRHZSQ,174326,4,6.0,Shirin David,ICE,2019-04-05,top200,NEW_ENTRY,592922.0,Germany,rap
0.82,0.734,5,-5.724,0,0.137,0.292,0,0.341,0.474,101.048,audio_features,3ld409h4DdrdPJzEdeU1WS,spotify:track:3ld409h4DdrdPJzEdeU1WS,https://api.spotify.com/v1/tracks/3ld409h4DdrdPJzEdeU1WS,https://api.spotify.com/v1/audio-analysis/3ld409h4DdrdPJzEdeU1WS,206053,4,10.0,"Ardian Bujupi, Fero47",Wie im Traum,2019-04-26,top200,NEW_ENTRY,367192.0,Germany,hip hop
0.81,0.731,8,-6.957,1,0.237,0.0264,1.85e-06,0.169,0.71,158.005,audio_features,21nMasJVN7cJ9gxtxUEPsu,spotify:track:21nMasJVN7cJ9gxtxUEPsu,https://api.spotify.com/v1/tracks/21nMasJVN7cJ9gxtxUEPsu,https://api.spotify.com/v1/audio-analysis/21nMasJVN7cJ9gxtxUEPsu,147720,4,2.0,"KC Rebell, Gzuz",Polizei,2021-09-17,top200,NEW_ENTRY,643026.0,Germany,hip hop
0.742,0.557,1,-8.03,1,0.334,0.087,0.00358,0.124,0.372,173.957,audio_features,3lHuDW8SiPtnIMmaTiDFVe,spotify:track:3lHuDW8SiPtnIMmaTiDFVe,https://api.spotify.com/v1/tracks/3lHuDW8SiPtnIMmaTiDFVe,https://api.spotify.com/v1/audio-analysis/3lHuDW8SiPtnIMmaTiDFVe,321851,4,5.0,"Bonez MC, Gzuz, Maxwell, LX, Sa4",187 Gang,2020-09-11,top200,NEW_ENTRY,568882.0,Germany,hip hop
0.827,0.646,11,-6.122,1,0.505,0.0827,0,0.123,0.711,168.025,audio_features,1e9QSdX5uLUw6vbrkZJyXi,spotify:track:1e9QSdX5uLUw6vbrkZJyXi,https://api.spotify.com/v1/tracks/1e9QSdX5uLUw6vbrkZJyXi,https://api.spotify.com/v1/audio-analysis/1e9QSdX5uLUw6vbrkZJyXi,220880,4,4.0,"Luciano, Ufo361, Lil Baby",Fendi Drip,2019-08-30,top200,NEW_ENTRY,664124.0,Germany,german drill
0.783,0.692,10,-6.156,0,0.329,0.485,0,0.12,0.26,100.082,audio_features,7KPGeiXWDsGEvFK62wzU8E,spotify:track:7KPGeiXWDsGEvFK62wzU8E,https://api.spotify.com/v1/tracks/7KPGeiXWDsGEvFK62wzU8E,https://api.spotify.com/v1/audio-analysis/7KPGeiXWDsGEvFK62wzU8E,159152,4,1.0,Capital Bra,Benzema,2018-12-21,top200,NEW_ENTRY,973953.0,Germany,hip hop
0.789,0.812,1,-3.981,1,0.168,0.236,0,0.13,0.417,94.03,audio_features,4e6l3QGj4RZesjDLVqYk3H,spotify:track:4e6l3QGj4RZesjDLVqYk3H,https://api.spotify.com/v1/tracks/4e6l3QGj4RZesjDLVqYk3H,https://api.spotify.com/v1/audio-analysis/4e6l3QGj4RZesjDLVqYk3H,191000,4,2.0,Samra,Marlboro Rot,2019-05-24,top200,NEW_ENTRY,857981.0,Germany,alt z
